FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
bookz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.5/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
boxerz1.ext.z1.tdn.hzl.ilx.com,10.53.24.1/24,EXT,10.53.24.0/24,10.53.24.255,HZLP-93COLO-MGTM1-A-JUMBO-1,2230,EXT,BUILD,Business Site,YES
boxerz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.9/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,BUILD,Business Site,YES
boxerz1.main.z1.tdn.hzl.ilx.com,10.181.192.9/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,BUILD,Business Site,YES
boxerz1.out.z1.tdn.hzl.ilx.com,10.53.22.9/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,BUILD,Business Site,YES
boxerz1.web.z1.tdn.hzl.ilx.com,10.53.20.1/24,WEB,10.53.20.0/24,10.53.20.255,HZLP-93COLO-TDNM1-A-JUMBO-1,2210,WEB,BUILD,Business Site,YES
boxerz1.webfs.z1.tdn.hzl.ilx.com,10.181.195.1/24,WEBFS,10.181.195.0/24,10.181.195.255,HZLP-93COLO-TDNM1-A-WEBFS-1,2211,WEB,BUILD,Business Site,YES
celtserverz1.hyper.z1.tdn.hzl.ilx.com,10.53.21.7/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
celtstoragez1.idcm.z1.tdn.hzl.ilx.com,10.179.0.10/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
celtstoragez1.main.z1.tdn.hzl.ilx.com,10.181.192.10/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
celtstoragez1.out.z1.tdn.hzl.ilx.com,10.53.22.10/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
cleekz1.a.arbi10.z1.tdn.hzl.ilx.com,10.179.4.195/27,A.ARBI10,10.179.4.192/27,10.179.4.223,HZL-COLO-MCE1-ARBI1-2,1702,ARBI10,ARBI10,Business Silo,
cleekz1.filer.z1.tdn.hzl.ilx.com,10.181.194.7/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,PROD,PROD,Business Site,YES
cleekz1.gtdl.z1.tdn.hzl.ilx.com,10.179.3.5/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,GTDL,GTDL,Business Site,
cleekz1.idcm.z1.tdn.hzl.ilx.com,10.179.0.11/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
cleekz1.log.z1.tdn.hzl.ilx.com,10.179.3.67/26,LOG,10.179.3.64/26,10.179.3.127,HZL-COLO-MCE1-LOG1-1,1803,LOG,LOG,Business Silo,
cleekz1.main.z1.tdn.hzl.ilx.com,10.181.192.11/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
cleekz1.out.z1.tdn.hzl.ilx.com,10.53.22.11/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
cleekz1.tpfun.z1.tdn.hzl.ilx.com,10.179.3.195/26,TPFUN,10.179.3.192/26,10.179.3.255,HZL-COLO-MCE1-TPFUN-1,1805,TPFUN,TPFUN,Business Site,
cooperz1a.idcm.z1.tdn.hzl.ilx.com,10.179.0.13/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,CHASSIS,Business Site,YES
