FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Logical Net,Logical Interface,Network Scope,TOR switch used
bogeyz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.8/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,PROD,Business Site,YES
bogeyz2.log.z2.tdn.hzl.ilx.com,10.179.3.130/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,LOG,LOG,Business Silo,
bogeyz2.main.z2.tdn.hzl.ilx.com,10.181.192.8/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,PROD,Business Site,YES
bogeyz2.out.z2.tdn.hzl.ilx.com,10.53.22.8/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,PROD,Business Site,YES
bookz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.6/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,PRODHYPER,Business Site,YES
boxerz2.ext.z2.tdn.hzl.ilx.com,10.53.24.10/24,EXT,10.53.24.0/24,10.53.24.255,HZLP-93COLO-MGTM1-A-JUMBO-1,2230,EXT,BUILD,Business Site,YES
boxerz2.hyper.z2.tdn.hzl.ilx.com,10.53.21.51/24,HYPER,10.53.21.0/24,10.53.21.255,HZLP-93COLO-TDNH1-A-HYPER-1,2200,HYPER,BUILD,Business Site,YES
boxerz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.167/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,PROD,BUILD,Business Site,YES
boxerz2.main.z2.tdn.hzl.ilx.com,10.181.192.167/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,PROD,BUILD,Business Site,YES
boxerz2.out.z2.tdn.hzl.ilx.com,10.53.22.167/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,PROD,BUILD,Business Site,YES
