FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
bunkerz2.a.arbi10.z2.tdn.hzl.ilx.com,10.179.4.233/27,A.ARBI10,10.179.4.224/27,10.179.4.255,HZL-COLO-MCE1-ARBI2-2,1703,itcfepcz2b,ARBI10,ARBI10,Business Silo,
bunkerz2.a1.etg.z2.tdn.hzl.ilx.com,10.110.15.138/25,A1.ETG,10.110.15.128/25,10.110.15.255,PROD_ERB-Hash-LAN-A,815,itcfepcz2b,ETG,ETG,Business Site,
bunkerz2.b1.etg.z2.tdn.hzl.ilx.com,10.110.16.138/25,B1.ETG,10.110.16.128/25,10.110.16.255,PROD_ERB-Hash-LAN-B,816,itcfepcz2b,ETG,ETG,Business Site,
bunkerz2.filer.z2.tdn.hzl.ilx.com,10.181.194.41/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,itcfepcz2b,PROD,PRODHYPER,Business Site,YES
bunkerz2.gtdl.z2.tdn.hzl.ilx.com,10.179.3.24/26,GTDL,10.179.3.0/26,10.179.3.63,HZL-COLO-MCE1-GTDL-1,1802,itcfepcz2b,GTDL,GTDL,Business Site,
bunkerz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.69/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,itcfepcz2b,PROD,PRODHYPER,Business Site,YES
bunkerz2.log.z2.tdn.hzl.ilx.com,10.179.3.140/26,LOG,10.179.3.128/26,10.179.3.191,HZL-COLO-MCE1-LOG2-1,1804,itcfepcz2b,LOG,LOG,Business Silo,
bunkerz2.main.z2.tdn.hzl.ilx.com,10.181.192.69/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,itcfepcz2b,PROD,PRODHYPER,Business Site,YES
bunkerz2.out.z2.tdn.hzl.ilx.com,10.53.22.69/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,itcfepcz2b,PROD,PRODHYPER,Business Site,YES
celtz2.filer.z2.tdn.hzl.ilx.com,10.181.194.57/24,FILER,10.181.194.0/24,10.181.194.255,HZLP-93COLO-TDNH1-A-STORAGE-1,2203,celtserverz2,PROD,PRODHYPER,Business Site,YES
celtz2.idcm.z2.tdn.hzl.ilx.com,10.179.0.93/23,IDCM,10.179.0.0/23,10.179.1.255,HZL-COLO-MCE1-IDCM-1,2209,celtserverz2,PROD,PRODHYPER,Business Site,YES
celtz2.main.z2.tdn.hzl.ilx.com,10.181.192.93/23,MAIN,10.181.192.0/23,10.181.193.255,HZLP-93COLO-TDNH1-A-MAIN-1,2202,celtserverz2,PROD,PRODHYPER,Business Site,YES
celtz2.out.z2.tdn.hzl.ilx.com,10.53.22.93/23,OUT,10.53.22.0/23,10.53.23.255,HZLP-93COLO-TDNH1-A-JUMBO-1,2201,celtserverz2,PROD,PRODHYPER,Business Site,YES
cmefepz2.a1.exch.z2.tdn.hzl.ilx.com,159.44.249.3/26,A1.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz2a,EXCH,EXCH,Business Site,
cmefepz2.a2.exch.z2.tdn.hzl.ilx.com,159.44.249.8/26,A2.EXCH,159.44.249.0/26,159.44.249.63,HZL-COLO-MCE1-EXCHANGEA-1,1501,dtpfepcz2a,EXCH,EXCH,Business Site,
cmefepz2.b1.exch.z2.tdn.hzl.ilx.com,159.44.253.3/26,B1.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz2a,EXCH,EXCH,Business Site,
cmefepz2.b2.exch.z2.tdn.hzl.ilx.com,159.44.253.8/26,B2.EXCH,159.44.253.0/26,159.44.253.63,HZL-COLO-MCE1-EXCHANGEB-1,1601,dtpfepcz2a,EXCH,EXCH,Business Site,
cmefepz2.feed.z2.tdn.hzl.ilx.com,10.179.2.2/25,FEED,10.179.2.0/25,10.179.2.127,HZL-COLO-MCE1-FEED-1,1800,dtpfepcz2a,FEED,FEED,Business Site,
