FQDN System Name,IP Address,Network,Network Range,Broadcast Address,VLAN,VLAN number,Physical System,Logical Net,Logical Interface,Network Scope,TOR switch used
baffyq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.86/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
baffyq1.log.q1.tdnqa.hzl.ilx.com,10.179.11.66/26,LOG,10.179.11.64/26,10.179.11.127,HZL-COLO-MCE2-LOG1-1,1803,itcfepcq1a,LOG,LOG,Business Silo,
baffyq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.86/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
baffyq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.86/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
blondq1.idcm.q1.tdnqa.hzl.ilx.com,10.179.8.2/23,IDCM,10.179.8.0/23,10.179.9.255,HZL-COLO-MCE2-IDCM-1,2509,tdngateq1,PROD,PRODPDNHYPER,Business Site,YES
blondq1.main.q1.tdnqa.hzl.ilx.com,10.181.196.2/23,MAIN,10.181.196.0/23,10.181.197.255,HZLS-93COLO-TDNH1-A-MAIN-1,2502,tdngateq1,PROD,PRODPDNHYPER,Business Site,YES
blondq1.out.q1.tdnqa.hzl.ilx.com,10.53.30.2/23,OUT,10.53.30.0/23,10.53.31.255,HZLS-93COLO-TDNH1-A-JUMBO-1,2501,tdngateq1,PROD,PRODPDNHYPER,Business Site,YES
blondq1.sec1.q1.tdnqa.hzl.ilx.com,10.53.35.1/27,SEC1,10.53.35.0/27,10.53.35.31,HZLS-93COLO-TDNM1-A-SECURE-1,2544,tdngateq1,NETCOMMS,PRODPDNHYPER,Business Site,YES
brassieq1.a.arbi10.q1.tdnqa.hzl.ilx.com,10.179.12.197/27,A.ARBI10,10.179.12.192/27,10.179.12.223,HZL-COLO-MCE2-ARBI1-2,1702,itcfepcq1a,ARBI10,ARBI10,Business Silo,
brassieq1.a1.etg.q1.tdnqa.hzl.ilx.com,10.110.17.136/25,A1.ETG,10.110.17.128/25,10.110.17.255,PPE_ERB-Hash-LAN-A,817,itcfepcq1a,ETG,ETG,Business Site,
brassieq1.b1.etg.q1.tdnqa.hzl.ilx.com,10.110.18.136/25,B1.ETG,10.110.18.128/25,10.110.18.255,PPE_ERB-Hash-LAN-B,818,itcfepcq1a,ETG,ETG,Business Site,
brassieq1.filer.q1.tdnqa.hzl.ilx.com,10.181.198.34/24,FILER,10.181.198.0/24,10.181.198.255,HZLS-93COLO-TDNH1-A-STORAGE-1,2503,itcfepcq1a,PROD,PRODHYPER,Business Site,YES
